Layout Name,Algorithm,Nodes Expanded,Path Cost
bigCorners,dfs,"50",44
bigCorners,bfs,"383",36
bigCorners,astar,"116",36
bigCorners,ucs,"383",36
bigCorners,mm,"107",36
bigCorners,mm0,"160",36
bigMaze,dfs,"390",210
bigMaze,bfs,"620",210
bigMaze,astar,"549",210
bigMaze,ucs,"620",210
bigMaze,mm,"605",210
bigMaze,mm0,"605",210
contoursMaze,dfs,"85",85
contoursMaze,bfs,"170",13
contoursMaze,astar,"49",13
contoursMaze,ucs,"170",13
contoursMaze,mm,"41",13
contoursMaze,mm0,"90",13
diamondMaze,dfs,"147",117
diamondMaze,bfs,"155",79
diamondMaze,astar,"155",79
diamondMaze,ucs,"155",79
diamondMaze,mm,"152",79
diamondMaze,mm0,"152",79
mediumMaze,dfs,"146",130
mediumMaze,bfs,"269",68
mediumMaze,astar,"221",68
mediumMaze,ucs,"269",68
mediumMaze,mm,"183",68
mediumMaze,mm0,"184",68
mirrorMaze,dfs,"136",73
mirrorMaze,bfs,"158",17
mirrorMaze,astar,"38",17
mirrorMaze,ucs,"158",17
mirrorMaze,mm,"39",17
mirrorMaze,mm0,"82",17
smallMaze,dfs,"59",49
smallMaze,bfs,"92",19
smallMaze,astar,"53",19
smallMaze,ucs,"92",19
smallMaze,mm,"39",19
smallMaze,mm0,"50",19
trappedClassic,dfs,"5",5
trappedClassic,bfs,"7",5
trappedClassic,astar,"5",5
trappedClassic,ucs,"7",5
trappedClassic,mm,"5",5
trappedClassic,mm0,"8",5
trickySearch,dfs,"129",95
trickySearch,bfs,"138",41
trickySearch,astar,"138",41
trickySearch,ucs,"138",41
trickySearch,mm,"67",41
trickySearch,mm0,"68",41
